img_id,sample_split,approach,threshold_mode,approach_family,pipeline_stage,config_overrides,fuzzy_output_mode,apply_weight_to,region_growing_method,rg_ablation_step,vesselness_ablation_step,reuse_detection_from,base_weighted_approach,min_hu,max_hu,max_threshold_percentile,lcc_per_slice,lcc_mode,threshold_voxels,lcc_voxels,artery_vesselness_method,artery_sigmas,artery_alpha,artery_beta,artery_gamma,artery_normalization,artery_smooth_sigma,artery_vesselness_label,aorta_vesselness_method,aorta_sigmas,aorta_alpha,aorta_beta,aorta_gamma,aorta_smooth_sigma,circle_canny_sigma,circle_total_num_peaks_initial,circle_total_num_peaks,circle_local_roi_padding,circle_candidate_selection_strategy,circle_out_of_tolerance_as_miss,circle_candidate_score_accum_weight,circle_candidate_score_distance_weight,circle_candidate_score_radius_weight,level_set_num_iter,level_set_balloon,level_set_smoothing,ostia_top_n,ostia_lower_fraction,ostia_min_center_distance_factor,ostia_min_lateral_factor,ostia_erosion_radius,post_closing_radius,post_dilation_radius,use_seed_refinement,use_multi_seed,use_priority_queue,use_adaptive_acceptance,use_distance_limit,grow_each_ostium_separately,seed_search_radius,seed_candidate_radius,max_seed_candidates,seed_min_vesselness_fraction,min_seed_candidate_distance_voxels,adaptive_threshold_std_factor,min_threshold_fraction,max_distance_mm,max_distance_voxels,rg_comparison_window,rg_threshold_divisor,rg_threshold_mode,rg_threshold_percentiles,rg_threshold_std_factor,rg_threshold_scale,rg_min_vesselness_fraction,rg_min_vesselness_mode,rg_min_vesselness_percentile,rg_min_vesselness_std_factor,rg_min_vesselness_mad_factor,rg_min_vesselness_scale
28,train,normal_standard_baseline,normal_standard_baseline,normal_pipeline_sweep,baseline,{},none,none,standard,,,,,-300.0,862.7649536132812,99.7,True,per_slice,11123004,10771488,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_standard_baseline,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,31,0.8,2,2000,0.8,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
28,train,normal_ostia_lower086,normal_ostia_lower_fraction086,normal_pipeline_sweep,ostia_detection,"{""OSTIA_DETECTION"": {""lower_fraction"": 0.86}}",none,none,standard,,,,,-300.0,862.7649536132812,99.7,True,per_slice,11123004,10771488,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_ostia_lower_fraction086,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,31,0.8,2,2000,0.86,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
28,train,normal_ostia_lower088,normal_ostia_lower_fraction088,normal_pipeline_sweep,ostia_detection,"{""OSTIA_DETECTION"": {""lower_fraction"": 0.88}}",none,none,standard,,,,,-300.0,862.7649536132812,99.7,True,per_slice,11123004,10771488,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_ostia_lower_fraction088,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,31,0.8,2,2000,0.88,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
28,train,normal_ostia_lower090,normal_ostia_lower_fraction090,normal_pipeline_sweep,ostia_detection,"{""OSTIA_DETECTION"": {""lower_fraction"": 0.9}}",none,none,standard,,,,,-300.0,862.7649536132812,99.7,True,per_slice,11123004,10771488,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_ostia_lower_fraction090,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,31,0.8,2,2000,0.9,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
28,train,normal_ostia_lower092,normal_ostia_lower_fraction092,normal_pipeline_sweep,ostia_detection,"{""OSTIA_DETECTION"": {""lower_fraction"": 0.92}}",none,none,standard,,,,,-300.0,862.7649536132812,99.7,True,per_slice,11123004,10771488,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_ostia_lower_fraction092,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,31,0.8,2,2000,0.92,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
28,train,normal_ostia_lower094,normal_ostia_lower_fraction094,normal_pipeline_sweep,ostia_detection,"{""OSTIA_DETECTION"": {""lower_fraction"": 0.94}}",none,none,standard,,,,,-300.0,862.7649536132812,99.7,True,per_slice,11123004,10771488,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_ostia_lower_fraction094,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,31,0.8,2,2000,0.94,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
28,train,normal_level_iter40,normal_aorta_level_set_iter40,normal_pipeline_sweep,aorta_segmentation,"{""LEVEL_SET"": {""num_iter"": 40}}",none,none,standard,,,,,-300.0,862.7649536132812,99.7,True,per_slice,11123004,10771488,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_aorta_level_set_iter40,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,40,0.8,2,2000,0.8,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
28,train,normal_level_iter45,normal_aorta_level_set_iter45,normal_pipeline_sweep,aorta_segmentation,"{""LEVEL_SET"": {""num_iter"": 45}}",none,none,standard,,,,,-300.0,862.7649536132812,99.7,True,per_slice,11123004,10771488,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_aorta_level_set_iter45,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,45,0.8,2,2000,0.8,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
28,train,normal_level_iter50,normal_aorta_level_set_iter50,normal_pipeline_sweep,aorta_segmentation,"{""LEVEL_SET"": {""num_iter"": 50}}",none,none,standard,,,,,-300.0,862.7649536132812,99.7,True,per_slice,11123004,10771488,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_aorta_level_set_iter50,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,50,0.8,2,2000,0.8,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
28,train,normal_lower090_iter45,normal_ostia_lower090_level_iter45,normal_pipeline_sweep,combined_ostia_aorta,"{""OSTIA_DETECTION"": {""lower_fraction"": 0.9}, ""LEVEL_SET"": {""num_iter"": 45}}",none,none,standard,,,,,-300.0,862.7649536132812,99.7,True,per_slice,11123004,10771488,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_ostia_lower090_level_iter45,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,45,0.8,2,2000,0.9,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
28,train,normal_lower088_iter45,normal_ostia_lower088_level_iter45,normal_pipeline_sweep,combined_ostia_aorta,"{""OSTIA_DETECTION"": {""lower_fraction"": 0.88}, ""LEVEL_SET"": {""num_iter"": 45}}",none,none,standard,,,,,-300.0,862.7649536132812,99.7,True,per_slice,11123004,10771488,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_ostia_lower088_level_iter45,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,45,0.8,2,2000,0.88,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
28,train,normal_lower092_iter45,normal_ostia_lower092_level_iter45,normal_pipeline_sweep,combined_ostia_aorta,"{""OSTIA_DETECTION"": {""lower_fraction"": 0.92}, ""LEVEL_SET"": {""num_iter"": 45}}",none,none,standard,,,,,-300.0,862.7649536132812,99.7,True,per_slice,11123004,10771488,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_ostia_lower092_level_iter45,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,45,0.8,2,2000,0.92,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
28,train,normal_threshold_p999,normal_threshold_percentile_999,normal_pipeline_sweep,thresholding,{},none,none,standard,,,,,-300.0,1100.8323974609375,99.9,True,per_slice,11159154,10801705,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_threshold_percentile_999,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,31,0.8,2,2000,0.8,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
28,train,normal_threshold_p9995,normal_threshold_percentile_9995,normal_pipeline_sweep,thresholding,{},none,none,standard,,,,,-300.0,1212.733154296875,99.95,True,per_slice,11168201,10809053,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_threshold_percentile_9995,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,31,0.8,2,2000,0.8,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
28,train,normal_lcc_per_slice,normal_lcc_per_slice,normal_pipeline_sweep,lcc_mode,{},none,none,standard,,,normal_standard_baseline,,-300.0,862.7649536132812,99.7,True,per_slice,11123004,10771488,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_lcc_per_slice,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,31,0.8,2,2000,0.8,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
28,train,normal_lcc_per_volume,normal_lcc_per_volume,normal_pipeline_sweep,lcc_mode,{},none,none,standard,,,,,-300.0,862.7649536132812,99.7,False,per_volume,11123004,11116649,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_lcc_per_volume,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,31,0.8,2,2000,0.8,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
28,train,normal_circle_score,normal_aorta_circle_candidate_score,normal_pipeline_sweep,aorta_localization,"{""CIRCLE_DETECTION"": {""candidate_selection_strategy"": ""score""}}",none,none,standard,,,,,-300.0,862.7649536132812,99.7,True,per_slice,11123004,10771488,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_aorta_circle_candidate_score,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,score,False,1.0,1.0,1.0,31,0.8,2,2000,0.8,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
28,train,normal_circle_miss_tolerated,normal_aorta_circle_miss_tolerated,normal_pipeline_sweep,aorta_localization,"{""CIRCLE_DETECTION"": {""out_of_tolerance_as_miss"": true}}",none,none,standard,,,,,-300.0,862.7649536132812,99.7,True,per_slice,11123004,10771488,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_aorta_circle_miss_tolerated,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,True,1.0,1.0,1.0,31,0.8,2,2000,0.8,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
28,train,normal_circle_score_miss_tolerated,normal_aorta_circle_score_miss_tolerated,normal_pipeline_sweep,aorta_localization,"{""CIRCLE_DETECTION"": {""candidate_selection_strategy"": ""score"", ""out_of_tolerance_as_miss"": true}}",none,none,standard,,,,,-300.0,862.7649536132812,99.7,True,per_slice,11123004,10771488,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_aorta_circle_score_miss_tolerated,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,score,True,1.0,1.0,1.0,31,0.8,2,2000,0.8,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
380,train,normal_standard_baseline,normal_standard_baseline,normal_pipeline_sweep,baseline,{},none,none,standard,,,,,-300.0,827.7804565429688,99.7,True,per_slice,7766777,7628575,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_standard_baseline,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,31,0.8,2,2000,0.8,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
380,train,normal_ostia_lower086,normal_ostia_lower_fraction086,normal_pipeline_sweep,ostia_detection,"{""OSTIA_DETECTION"": {""lower_fraction"": 0.86}}",none,none,standard,,,,,-300.0,827.7804565429688,99.7,True,per_slice,7766777,7628575,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_ostia_lower_fraction086,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,31,0.8,2,2000,0.86,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
380,train,normal_ostia_lower088,normal_ostia_lower_fraction088,normal_pipeline_sweep,ostia_detection,"{""OSTIA_DETECTION"": {""lower_fraction"": 0.88}}",none,none,standard,,,,,-300.0,827.7804565429688,99.7,True,per_slice,7766777,7628575,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_ostia_lower_fraction088,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,31,0.8,2,2000,0.88,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
380,train,normal_ostia_lower090,normal_ostia_lower_fraction090,normal_pipeline_sweep,ostia_detection,"{""OSTIA_DETECTION"": {""lower_fraction"": 0.9}}",none,none,standard,,,,,-300.0,827.7804565429688,99.7,True,per_slice,7766777,7628575,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_ostia_lower_fraction090,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,31,0.8,2,2000,0.9,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
380,train,normal_ostia_lower092,normal_ostia_lower_fraction092,normal_pipeline_sweep,ostia_detection,"{""OSTIA_DETECTION"": {""lower_fraction"": 0.92}}",none,none,standard,,,,,-300.0,827.7804565429688,99.7,True,per_slice,7766777,7628575,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_ostia_lower_fraction092,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,31,0.8,2,2000,0.92,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
380,train,normal_ostia_lower094,normal_ostia_lower_fraction094,normal_pipeline_sweep,ostia_detection,"{""OSTIA_DETECTION"": {""lower_fraction"": 0.94}}",none,none,standard,,,,,-300.0,827.7804565429688,99.7,True,per_slice,7766777,7628575,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_ostia_lower_fraction094,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,31,0.8,2,2000,0.94,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
380,train,normal_level_iter40,normal_aorta_level_set_iter40,normal_pipeline_sweep,aorta_segmentation,"{""LEVEL_SET"": {""num_iter"": 40}}",none,none,standard,,,,,-300.0,827.7804565429688,99.7,True,per_slice,7766777,7628575,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_aorta_level_set_iter40,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,40,0.8,2,2000,0.8,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
380,train,normal_level_iter45,normal_aorta_level_set_iter45,normal_pipeline_sweep,aorta_segmentation,"{""LEVEL_SET"": {""num_iter"": 45}}",none,none,standard,,,,,-300.0,827.7804565429688,99.7,True,per_slice,7766777,7628575,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_aorta_level_set_iter45,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,45,0.8,2,2000,0.8,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
380,train,normal_level_iter50,normal_aorta_level_set_iter50,normal_pipeline_sweep,aorta_segmentation,"{""LEVEL_SET"": {""num_iter"": 50}}",none,none,standard,,,,,-300.0,827.7804565429688,99.7,True,per_slice,7766777,7628575,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_aorta_level_set_iter50,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,50,0.8,2,2000,0.8,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
380,train,normal_lower090_iter45,normal_ostia_lower090_level_iter45,normal_pipeline_sweep,combined_ostia_aorta,"{""OSTIA_DETECTION"": {""lower_fraction"": 0.9}, ""LEVEL_SET"": {""num_iter"": 45}}",none,none,standard,,,,,-300.0,827.7804565429688,99.7,True,per_slice,7766777,7628575,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_ostia_lower090_level_iter45,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,45,0.8,2,2000,0.9,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
380,train,normal_lower088_iter45,normal_ostia_lower088_level_iter45,normal_pipeline_sweep,combined_ostia_aorta,"{""OSTIA_DETECTION"": {""lower_fraction"": 0.88}, ""LEVEL_SET"": {""num_iter"": 45}}",none,none,standard,,,,,-300.0,827.7804565429688,99.7,True,per_slice,7766777,7628575,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_ostia_lower088_level_iter45,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,45,0.8,2,2000,0.88,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
380,train,normal_lower092_iter45,normal_ostia_lower092_level_iter45,normal_pipeline_sweep,combined_ostia_aorta,"{""OSTIA_DETECTION"": {""lower_fraction"": 0.92}, ""LEVEL_SET"": {""num_iter"": 45}}",none,none,standard,,,,,-300.0,827.7804565429688,99.7,True,per_slice,7766777,7628575,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_ostia_lower092_level_iter45,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,45,0.8,2,2000,0.92,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
380,train,normal_threshold_p999,normal_threshold_percentile_999,normal_pipeline_sweep,thresholding,{},none,none,standard,,,,,-300.0,1059.9993896484375,99.9,True,per_slice,7794062,7655572,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_threshold_percentile_999,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,31,0.8,2,2000,0.8,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
380,train,normal_threshold_p9995,normal_threshold_percentile_9995,normal_pipeline_sweep,thresholding,{},none,none,standard,,,,,-300.0,1224.043701171875,99.95,True,per_slice,7800870,7662405,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_threshold_percentile_9995,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,31,0.8,2,2000,0.8,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
380,train,normal_lcc_per_slice,normal_lcc_per_slice,normal_pipeline_sweep,lcc_mode,{},none,none,standard,,,normal_standard_baseline,,-300.0,827.7804565429688,99.7,True,per_slice,7766777,7628575,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_lcc_per_slice,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,31,0.8,2,2000,0.8,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
380,train,normal_lcc_per_volume,normal_lcc_per_volume,normal_pipeline_sweep,lcc_mode,{},none,none,standard,,,,,-300.0,827.7804565429688,99.7,False,per_volume,7766777,7754045,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_lcc_per_volume,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,31,0.8,2,2000,0.8,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
380,train,normal_circle_score,normal_aorta_circle_candidate_score,normal_pipeline_sweep,aorta_localization,"{""CIRCLE_DETECTION"": {""candidate_selection_strategy"": ""score""}}",none,none,standard,,,,,-300.0,827.7804565429688,99.7,True,per_slice,7766777,7628575,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_aorta_circle_candidate_score,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,score,False,1.0,1.0,1.0,31,0.8,2,2000,0.8,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
380,train,normal_circle_miss_tolerated,normal_aorta_circle_miss_tolerated,normal_pipeline_sweep,aorta_localization,"{""CIRCLE_DETECTION"": {""out_of_tolerance_as_miss"": true}}",none,none,standard,,,,,-300.0,827.7804565429688,99.7,True,per_slice,7766777,7628575,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_aorta_circle_miss_tolerated,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,True,1.0,1.0,1.0,31,0.8,2,2000,0.8,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
380,train,normal_circle_score_miss_tolerated,normal_aorta_circle_score_miss_tolerated,normal_pipeline_sweep,aorta_localization,"{""CIRCLE_DETECTION"": {""candidate_selection_strategy"": ""score"", ""out_of_tolerance_as_miss"": true}}",none,none,standard,,,,,-300.0,827.7804565429688,99.7,True,per_slice,7766777,7628575,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_aorta_circle_score_miss_tolerated,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,score,True,1.0,1.0,1.0,31,0.8,2,2000,0.8,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
854,train,normal_standard_baseline,normal_standard_baseline,normal_pipeline_sweep,baseline,{},none,none,standard,,,,,-300.0,727.1807250976562,99.7,True,per_slice,10667862,10414854,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_standard_baseline,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,31,0.8,2,2000,0.8,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
854,train,normal_ostia_lower086,normal_ostia_lower_fraction086,normal_pipeline_sweep,ostia_detection,"{""OSTIA_DETECTION"": {""lower_fraction"": 0.86}}",none,none,standard,,,,,-300.0,727.1807250976562,99.7,True,per_slice,10667862,10414854,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_ostia_lower_fraction086,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,31,0.8,2,2000,0.86,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
854,train,normal_ostia_lower088,normal_ostia_lower_fraction088,normal_pipeline_sweep,ostia_detection,"{""OSTIA_DETECTION"": {""lower_fraction"": 0.88}}",none,none,standard,,,,,-300.0,727.1807250976562,99.7,True,per_slice,10667862,10414854,normal,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,none,0.0,normal_ostia_lower_fraction088,normal,"[2.5, 3.0]",0.5,1.0,30,0.0,3,15,15,30,closest,False,1.0,1.0,1.0,31,0.8,2,2000,0.88,0.85,0.4,4,3,2,False,False,False,False,False,False,,,,,,,,,,1,7,range_fraction,,,1.0,0.078,max_fraction,,,,1.0
